"[run number]","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","deterrents","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"111","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","381","10","20","12","490","135","4673.5","500"
"112","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","16","19","16","484","121","4635.5","500"
"114","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","9","19","8","491","87","4492.5","500"
"113","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","9","19","16","491","133","4601","500"
"115","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","381","9","20","8","491","100","4830","500"
"118","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","9","19","13","491","79","4705","500"
"119","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","20","19","26","480","260","4444.5","500"
"116","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","18","19","16","482","141","4605","500"
"117","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","12","19","12","488","198","4679","500"
"120","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","15","19","19","485","117","4599.5","500"
"121","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","10","19","12","490","111","4364.5","500"
"122","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","381","8","20","15","492","131","4876","500"
"125","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","13","19","7","487","67","4629.5","500"
"123","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","10","19","44","490","313","4586","500"
"124","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","9","19","7","491","97","4563","500"
"126","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","381","16","20","16","484","134","4888","500"
"127","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","16","19","19","484","162","4506.5","500"
"128","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","341","15","18","6","485","80","4314","500"
"130","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","14","19","12","486","96","4614.5","500"
"129","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","4","19","17","496","150","4642","500"
"131","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","6","19","6","494","85","4660.5","500"
"132","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","7","19","16","493","98","4673","500"
"133","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","16","19","20","484","200","4543","500"
"134","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","12","19","7","488","75","4642","500"
"135","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","341","13","18","6","487","169","4331.5","500"
"136","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","12","19","10","488","108","4726.5","500"
"137","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","381","15","20","23","485","176","4738.5","500"
"138","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","381","10","20","12","490","107","5036.5","500"
"141","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","13","19","16","487","118","4756.5","500"
"139","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","381","10","20","8","490","77","4611","500"
"142","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","9","19","9","491","113","4660","500"
"140","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","15","19","14","485","135","4627.5","500"
"144","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","15","19","6","485","78","4641.5","500"
"143","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","13","19","15","487","81","4501","500"
