[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
149,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1201,5,61,61,321,127,19034,326
145,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1881,4,95,55,246,114,28115.5,250
144,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1641,5,83,83,314,148,22418.5,319
155,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,441,0,23,62,13,117,6885,13
156,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,481,0,25,49,13,89,9315,13
152,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1301,2,66,58,69,104,25490,71
150,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1221,3,62,71,250,140,17861,253
159,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,901,0,46,43,25,89,15390,25
162,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,581,0,30,69,26,123,10125,26
163,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,461,0,24,30,9,78,8910,9
154,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1181,7,60,142,247,272,22183.5,254
151,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1861,2,94,71,136,124,36411,138
165,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,681,1,35,62,45,132,13357.5,46
146,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,3321,6,167,51,280,94,52579,286
