[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
113,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,881,10,45,40,461,84,11332.5,471
116,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,801,15,41,73,465,131,9812.5,480
115,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,821,7,42,40,463,73,11961,470
118,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,761,12,39,74,459,167,10143.5,471
120,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,641,13,33,56,463,123,8473,476
117,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,861,8,44,35,461,75,12105,469
119,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,761,13,39,56,457,114,9616.5,470
121,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1041,13,53,46,433,83,17414.5,446
123,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,881,8,45,117,446,240,14207.5,454
122,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,801,17,41,72,437,138,13153,454
124,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,901,9,46,49,423,89,15138.5,432
126,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,921,16,47,68,437,133,14256.5,453
127,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,761,12,39,72,446,143,12180,458
125,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1021,8,52,38,421,91,14880,429
130,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,861,12,44,36,426,76,14636.5,438
128,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,921,9,47,66,450,100,14512.5,459
131,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,881,12,45,62,438,113,13344.5,450
129,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,901,15,46,46,418,90,13884.5,433
132,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,801,14,41,29,428,71,13099,442
134,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,741,15,38,127,444,225,11771,459
135,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,721,12,37,48,444,101,11615.5,456
133,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,821,7,42,56,417,101,13085.5,424
139,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,681,5,35,59,447,125,11223.5,452
138,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,821,16,42,54,425,116,12749,441
140,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,801,11,41,79,448,153,13010.5,459
136,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,801,9,41,92,455,174,12738,464
137,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,881,13,45,29,427,62,14797,440
141,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,761,5,39,50,448,88,12229.5,453
142,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,741,7,38,79,446,149,11831,453
143,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,781,12,40,61,441,126,12402.5,453
144,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,921,14,47,66,413,136,13841,427
