"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"45","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3641","13","183","11","472","86","48230","485"
"49","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2481","12","125","21","453","140","32860","465"
"51","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1261","13","64","6","480","75","4354.5","493"
"53","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2121","12","107","15","481","87","7250.5","493"
"52","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2501","10","126","9","485","89","8643.5","495"
"50","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3001","11","151","15","468","128","39750","479"
"55","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2161","11","109","16","484","115","7413.5","495"
"54","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2741","9","138","13","485","123","9469.5","494"
"59","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1801","12","91","8","476","67","6162","488"
"56","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2201","5","111","10","490","89","7781","495"
"47","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","6121","10","307","25","470","267","81090","480"
"60","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","3181","8","160","16","490","105","11017.5","498"
"58","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","3181","9","160","10","482","126","11009.5","491"
"62","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2101","14","106","12","474","113","7185.5","488"
"57","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","3741","12","188","18","486","178","12781.5","498"
"61","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","3941","6","198","18","486","209","13819","492"
"63","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2821","12","142","2","481","83","9562.5","493"
"65","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2401","11","121","17","481","92","8228.5","492"
"64","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2761","13","139","10","481","119","9340","494"
"66","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2261","12","114","9","482","70","7713","494"
"67","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2141","11","108","9","478","140","7404","489"
"69","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2041","14","103","6","475","90","6914.5","489"
"70","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1461","10","74","7","478","74","5096","488"
"68","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2761","6","139","9","491","99","9607","497"
"75","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1801","12","91","11","477","100","6135","489"
"71","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","3121","13","157","11","477","151","10496","490"
"76","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1841","9","93","9","485","85","6384.5","494"
"72","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2981","12","150","14","484","126","10107.5","496"
"73","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2881","13","145","8","483","79","9778","496"
"74","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2541","18","128","16","479","131","8442","497"
"79","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2001","7","101","17","484","127","6993.5","491"
"77","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2921","10","147","15","482","151","10060","492"
"81","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2481","11","125","22","471","164","8527","482"
"80","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2761","11","139","6","482","97","9448","493"
"78","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","3021","10","152","15","483","139","10396","493"
"82","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2221","11","112","11","482","107","7624","493"
"84","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1121","14","57","13","469","97","3860.5","483"
"86","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1781","15","90","10","473","82","6052.5","488"
"88","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2021","11","102","8","483","98","6957","494"
"87","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2101","11","106","11","477","105","7194","488"
"85","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2821","8","142","13","488","97","9806","496"
"83","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","3181","14","160","5","483","111","10664.5","497"
"90","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2181","9","110","6","482","121","7600.5","491"
"91","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2661","15","134","8","481","80","8888","496"
"94","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1981","11","100","6","482","74","6818.5","493"
"93","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2321","9","117","6","485","66","8082.5","494"
"95","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2361","9","119","16","486","137","8163.5","495"
"89","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","4101","12","206","30","483","221","13881","495"
"96","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2621","13","132","19","483","164","8898.5","496"
"101","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1481","10","75","9","472","92","4995","482"
"99","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2041","13","103","11","482","103","6942","495"
"100","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2201","19","111","9","471","76","7272","490"
"97","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2621","10","132","13","486","111","9025","496"
"92","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","4821","12","242","34","482","277","16404","494"
"98","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2861","5","144","22","485","124","10085","490"
"104","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2261","11","114","14","478","125","7627.5","489"
"105","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2201","12","111","10","482","78","7425","494"
"106","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2681","12","135","9","484","92","9045","496"
"103","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","3761","12","189","17","484","160","12690","496"
"102","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","4261","9","214","28","481","207","14377.5","490"
"109","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1841","11","93","21","473","158","6210","484"
"110","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1921","12","97","8","479","146","6480","491"
"108","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2181","7","110","15","484","88","7357.5","491"
"113","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1361","7","69","16","481","89","4590","488"
"111","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2381","15","120","21","480","113","8032.5","495"
"107","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","3801","10","191","19","484","176","12825","494"
"112","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2561","10","129","8","483","86","8640","493"
"116","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1641","15","83","8","465","88","5535","480"
"114","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2961","10","149","8","485","97","9990","495"
"117","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1921","11","97","10","482","129","6412.5","493"
"122","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1101","9","56","11","476","99","3712.5","485"
"115","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","3461","11","174","15","485","168","11677.5","496"
"123","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1341","12","68","11","471","67","4522.5","483"
"118","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2741","9","138","7","488","75","9247.5","497"
"121","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2101","10","106","6","478","82","7087.5","488"
"125","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1261","6","64","10","477","82","4252.5","483"
"124","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1501","9","76","10","476","110","5062.5","485"
"120","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2341","12","118","11","483","113","7897.5","495"
"119","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","3541","9","178","10","484","135","11947.5","493"
