"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"437","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","1621","11","82","71","446","128","32571.5","457"
"435","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","1701","10","86","71","462","162","34220","472"
"439","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","1481","6","75","74","439","136","29859.5","445"
"444","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","1521","13","77","35","434","84","30568.5","447"
"442","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","2121","9","107","40","439","90","42630","448"
"438","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","3281","9","165","39","412","73","65947","421"
"443","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","2541","10","128","62","436","123","51106","446"
"447","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","2101","5","106","62","464","127","42368","469"
"440","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","3621","2","182","33","454","75","73206.5","456"
"448","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","1681","13","85","90","450","171","33296.5","463"
"446","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","2521","10","127","59","424","96","50653.5","434"
"441","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","4581","9","230","43","461","85","91884.5","470"
"449","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","2721","14","137","49","449","123","54431.5","463"
"450","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","2281","19","115","105","466","229","45414.5","485"
"445","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","all","18","200","12","3121","9","157","45","436","104","62674.5","445"
