[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
134,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,761,12,39,117,488,242,10035.5,500
135,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,761,9,39,51,487,111,10048.5,496
136,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,861,11,44,38,486,84,11093,497
137,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,821,10,42,39,488,76,10843.5,498
138,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,821,12,42,68,486,130,10279.5,498
140,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,861,14,44,83,484,171,10562,498
141,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,781,16,40,38,483,77,10006,499
139,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,961,14,49,50,485,111,11338,499
142,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,981,19,50,38,479,84,12886.5,498
144,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,821,7,42,71,491,139,10328.5,498
143,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,941,13,48,47,482,92,12144,495
145,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1081,16,55,57,480,125,13453.5,496
147,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,741,12,38,55,485,107,9486.5,497
149,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,841,13,43,53,486,113,10817.5,499
148,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,921,13,47,80,487,175,11069.5,500
150,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,841,12,43,55,487,107,10285,499
146,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1241,6,63,52,491,103,13583.5,497
151,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,941,13,48,83,478,145,18525.5,491
153,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1041,11,53,56,472,113,20097,483
152,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1221,13,62,75,473,127,22934,486
156,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1101,9,56,83,475,157,20545,484
154,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1361,8,69,45,458,91,24591.5,466
157,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1321,9,67,44,468,91,25764,477
158,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,981,12,50,96,477,170,19747,489
155,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1421,12,72,52,474,106,27718,486
162,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1081,18,55,63,464,118,20849,482
159,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1241,9,63,45,470,91,23790,479
161,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1401,19,71,52,455,85,27240.5,474
163,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1241,11,63,59,473,107,24952,484
160,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1601,10,81,34,467,91,30565.5,477
164,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1261,13,64,55,459,103,24509.5,472
165,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1181,11,60,47,464,93,23326,475
166,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1061,9,54,138,488,254,20536.5,497
170,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1061,14,54,75,475,141,20486.5,489
168,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1381,11,70,56,463,109,26164,474
167,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1241,14,63,45,461,88,23681,475
169,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1461,14,74,37,453,76,29357,467
172,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1301,7,66,66,482,112,22971.5,489
173,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1261,9,64,61,476,125,24964,485
174,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1221,10,62,54,470,111,23335.5,480
171,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1461,17,74,44,454,83,28884,471
178,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,961,11,49,75,479,149,19316,490
176,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1361,12,69,46,464,83,26520,476
175,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1481,3,75,49,474,95,26284,477
177,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1301,10,66,40,471,87,25362,481
180,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1201,9,61,64,465,104,23770,474
179,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1481,7,75,32,442,73,29424.5,449
