[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
137,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,801,11,41,14,482,94,10294,493
140,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,781,8,40,23,489,141,10056.5,497
136,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,941,11,48,12,489,120,12179,500
138,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,901,16,46,13,480,104,11089.5,496
139,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,961,15,49,44,484,316,12130,499
141,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,961,16,49,4,480,101,12112.5,496
143,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,841,13,43,13,481,88,10550,494
142,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1101,12,56,8,486,99,14039,498
144,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,861,17,44,23,478,192,11589.5,495
145,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,881,9,45,9,487,97,10853.5,496
146,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,881,11,45,10,484,130,11387.5,495
147,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,861,11,44,27,486,214,10569.5,497
148,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,921,11,47,8,487,76,11631.5,498
150,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,741,9,38,14,484,120,9505,493
149,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,761,9,39,12,484,106,10040.5,493
152,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2141,8,108,8,390,79,42304,398
