[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
130,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1181,12,60,48,463,100,15677.5,475
131,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1201,15,61,53,470,97,15919.5,485
133,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1181,17,60,33,454,69,15099.5,471
132,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1461,7,74,54,469,121,19537.5,476
135,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1301,9,66,49,471,102,17079,480
136,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1261,7,64,50,469,102,16027,476
140,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1081,6,55,43,462,87,14130.5,468
134,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1641,3,83,42,482,76,20411,485
138,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1381,16,70,41,451,82,18035,467
137,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1441,13,73,37,461,64,17516.5,474
139,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1341,10,68,34,460,74,16524.5,470
141,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1101,5,56,116,482,213,14140.5,487
142,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1141,12,58,54,461,97,14894,473
143,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,981,9,50,128,482,238,12743,491
144,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1261,12,64,116,480,258,15913,492
146,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1161,15,59,81,467,134,15106,482
145,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1241,14,63,74,472,142,15627,486
147,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1281,13,65,60,467,115,16725.5,480
148,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1041,12,53,145,483,299,13250.5,495
149,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1081,9,55,42,451,78,14101,460
150,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1301,11,66,79,474,146,17013.5,485
153,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1681,16,85,47,437,93,31256.5,453
152,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1701,8,86,49,438,85,32651.5,446
151,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1701,10,86,70,450,127,33814,460
154,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1761,8,89,50,429,91,33467.5,437
155,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1641,8,83,46,421,93,32612,429
156,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2001,17,101,41,394,81,39258.5,411
161,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1121,15,57,84,465,183,21736,480
158,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1561,13,79,35,403,72,30958,416
159,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1701,13,86,47,433,91,32953.5,446
157,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2021,10,102,29,378,72,39384.5,388
160,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1881,10,95,40,408,85,37029.5,418
162,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1921,13,97,39,419,88,37369.5,432
165,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1321,12,67,97,463,182,25751,475
164,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1741,9,88,54,418,114,34219.5,427
163,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1781,11,90,42,434,91,34977.5,445
166,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1581,11,80,39,423,77,30996.5,434
168,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1301,13,66,120,461,227,24956,474
167,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1621,6,82,56,419,105,29846.5,425
169,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1501,10,76,59,456,113,29786.5,466
170,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1301,8,66,91,461,183,24999,469
171,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1601,7,81,38,414,76,30631.5,421
172,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1961,12,99,49,420,90,38145.5,432
174,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1821,8,92,45,438,91,36264,446
173,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2101,5,106,36,414,72,41561,419
176,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1421,15,72,48,432,104,27694,447
175,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2321,10,117,45,439,86,45494,449
178,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1541,6,78,55,444,107,29852,450
177,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1961,10,99,42,447,88,39042,457
179,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1801,8,91,49,415,91,35864,423
180,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1841,5,93,53,416,91,35493.5,421
