"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"462","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","15","23","485","7723","500"
"463","29","500","false","false","53","3","14","lockdown_worker+retired","18","481","14","24","486","8054.5","500"
"464","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","15","23","485","7389.5","500"
"465","29","500","false","false","53","3","14","lockdown_worker+retired","18","521","13","26","487","8729.5","500"
"467","29","500","false","false","53","3","14","lockdown_worker+retired","18","421","12","21","488","7067","500"
"466","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","11","23","489","7739","500"
"469","29","500","false","false","53","3","14","lockdown_worker+retired","18","441","11","22","489","7398","500"
"472","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","10","23","490","7738","500"
"470","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","5","23","495","7747.5","500"
"468","29","500","false","false","53","3","14","lockdown_worker+retired","18","481","12","24","488","8061","500"
"471","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","13","23","487","7726","500"
"473","29","500","false","false","53","3","14","lockdown_worker+retired","18","481","19","24","481","8054","500"
"474","29","500","false","false","53","3","14","lockdown_worker+retired","18","421","13","21","487","7071","500"
"476","29","500","false","false","53","3","14","lockdown_worker+retired","18","421","13","21","487","7067","500"
"475","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","12","23","488","7730.5","500"
"477","29","500","false","false","53","3","14","lockdown_worker+retired","18","481","10","24","490","8071.5","500"
"478","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","11","23","489","7734","500"
"479","29","500","false","false","53","3","14","lockdown_worker+retired","18","441","13","22","487","7396.5","500"
"480","29","500","false","false","53","3","14","lockdown_worker+retired","18","441","17","22","483","7382","500"
"481","29","500","false","false","53","3","14","lockdown_worker+retired","18","421","12","21","488","7064","500"
"482","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","12","23","488","7728","500"
"483","29","500","false","false","53","3","14","lockdown_worker+retired","18","421","18","21","482","7055","500"
"484","29","500","false","false","53","3","14","lockdown_worker+retired","18","481","18","24","482","8046","500"
"487","29","500","false","false","53","3","14","lockdown_worker+retired","18","421","12","21","488","7063","500"
"486","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","11","23","489","7732","500"
"485","29","500","false","false","53","3","14","lockdown_worker+retired","18","501","13","25","487","8386","500"
"488","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","17","23","483","7719","500"
"489","29","500","false","false","53","3","14","lockdown_worker+retired","18","481","7","24","493","8076.5","500"
"490","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","20","23","480","7713","500"
"493","29","500","false","false","53","3","14","lockdown_worker+retired","18","481","12","24","488","8059.5","500"
"492","29","500","false","false","53","3","14","lockdown_worker+retired","18","481","15","24","485","8051.5","500"
"491","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","6","23","494","7748","500"
"494","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","14","23","486","7732.5","500"
"495","29","500","false","false","53","3","14","lockdown_worker+retired","18","441","13","22","487","7396","500"
"496","29","500","false","false","53","3","14","lockdown_worker+retired","18","421","19","21","481","7053","500"
"497","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","13","23","487","7731","500"
"501","29","500","false","false","53","3","14","lockdown_retired+student","18","361","8","18","492","2514","500"
"498","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","6","23","494","7748","500"
"499","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","15","23","485","7724.5","500"
"500","29","500","false","false","53","3","14","lockdown_worker+retired","18","461","10","23","490","7740.5","500"
"502","29","500","false","false","53","3","14","lockdown_retired+student","18","381","13","19","487","2640","500"
"503","29","500","false","false","53","3","14","lockdown_retired+student","18","381","18","19","482","2635","500"
"504","29","500","false","false","53","3","14","lockdown_retired+student","18","381","8","19","492","2648","500"
"505","29","500","false","false","53","3","14","lockdown_retired+student","18","361","16","18","484","2508","500"
"506","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2506.5","500"
"507","29","500","false","false","53","3","14","lockdown_retired+student","18","381","13","19","487","2648.5","500"
"509","29","500","false","false","53","3","14","lockdown_retired+student","18","401","16","20","484","2774","500"
"510","29","500","false","false","53","3","14","lockdown_retired+student","18","381","10","19","490","2648.5","500"
"508","29","500","false","false","53","3","14","lockdown_retired+student","18","381","13","19","487","2501","500"
"513","29","500","false","false","53","3","14","lockdown_retired+student","18","401","12","20","488","2775","500"
"511","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2503.5","500"
"512","29","500","false","false","53","3","14","lockdown_retired+student","18","361","10","18","490","2510.5","500"
"515","29","500","false","false","53","3","14","lockdown_retired+student","18","361","14","18","486","2503.5","500"
"514","29","500","false","false","53","3","14","lockdown_retired+student","18","401","15","20","485","2639","500"
"516","29","500","false","false","53","3","14","lockdown_retired+student","18","381","10","19","490","2647","500"
"517","29","500","false","false","53","3","14","lockdown_retired+student","18","361","12","18","488","2509.5","500"
"518","29","500","false","false","53","3","14","lockdown_retired+student","18","361","9","18","491","2512","500"
"519","29","500","false","false","53","3","14","lockdown_retired+student","18","361","9","18","491","2508.5","500"
"521","29","500","false","false","53","3","14","lockdown_retired+student","18","381","11","19","489","2643.5","500"
"520","29","500","false","false","53","3","14","lockdown_retired+student","18","381","16","19","484","2639","500"
"523","29","500","false","false","53","3","14","lockdown_retired+student","18","381","13","19","487","2641.5","500"
"522","29","500","false","false","53","3","14","lockdown_retired+student","18","381","11","19","489","2647.5","500"
"524","29","500","false","false","53","3","14","lockdown_retired+student","18","381","12","19","488","2644.5","500"
"525","29","500","false","false","53","3","14","lockdown_retired+student","18","361","7","18","493","2514.5","500"
"526","29","500","false","false","53","3","14","lockdown_retired+student","18","381","15","19","485","2642","500"
"527","29","500","false","false","53","3","14","lockdown_retired+student","18","361","12","18","488","2509.5","500"
"528","29","500","false","false","53","3","14","lockdown_retired+student","18","381","13","19","487","2640.5","500"
"529","29","500","false","false","53","3","14","lockdown_retired+student","18","381","16","19","484","2640.5","500"
"530","29","500","false","false","53","3","14","lockdown_retired+student","18","401","17","20","483","2770.5","500"
"531","29","500","false","false","53","3","14","lockdown_retired+student","18","381","10","19","490","2645","500"
"532","29","500","false","false","53","3","14","lockdown_retired+student","18","381","14","19","486","2640","500"
"533","29","500","false","false","53","3","14","lockdown_retired+student","18","361","9","18","491","2513","500"
"534","29","500","false","false","53","3","14","lockdown_retired+student","18","381","10","19","490","2644","500"
"535","29","500","false","false","53","3","14","lockdown_retired+student","18","381","10","19","490","2648","500"
"538","29","500","false","false","53","3","14","lockdown_retired+student","18","381","17","19","483","2638.5","500"
"539","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2507","500"
"537","29","500","false","false","53","3","14","lockdown_retired+student","18","381","7","19","493","2653","500"
"536","29","500","false","false","53","3","14","lockdown_retired+student","18","381","16","19","484","2635","500"
