[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
78,true,true,29,500,53,2,14,none,18,1361,4,68,278,7549.75,282
77,true,true,29,500,53,2,14,none,18,1721,6,86,231,7761.75,237
81,true,true,29,500,53,2,14,none,18,1121,10,56,307,7578.75,317
84,true,true,29,500,53,2,14,none,18,1341,3,67,299,8098,302
82,true,true,29,500,53,2,14,none,18,1381,7,69,258,7985.5,265
91,true,true,29,500,53,2,14,lockdown_retired+student,18,1061,3,53,225,11062,228
88,true,true,29,500,53,2,14,none,18,1201,4,60,235,6250,239
87,true,true,29,500,53,2,14,none,18,1421,11,71,287,9645.25,298
89,true,true,29,500,53,2,14,none,18,1381,3,69,308,10175,311
85,true,true,29,500,53,2,14,none,18,1541,4,77,313,10733,317
92,true,true,29,500,53,2,14,lockdown_retired+student,18,1241,6,62,213,12308,219
90,true,true,29,500,53,2,14,none,18,1381,4,69,257,7689.5,261
83,true,true,29,500,53,2,14,none,18,2221,4,111,287,17146.5,291
86,true,true,29,500,53,2,14,none,18,2001,7,100,286,12677.5,293
93,true,true,29,500,53,2,14,lockdown_retired+student,18,1421,7,71,268,14340.5,275
94,true,true,29,500,53,2,14,lockdown_retired+student,18,1221,8,61,268,12410,276
96,true,true,29,500,53,2,14,lockdown_retired+student,18,1221,9,61,289,14049,298
95,true,true,29,500,53,2,14,lockdown_retired+student,18,1381,7,69,256,14148,263
97,true,true,29,500,53,2,14,lockdown_retired+student,18,1261,8,63,227,13099.5,235
101,true,true,29,500,53,2,14,lockdown_retired+student,18,1301,5,65,260,14239,265
102,true,true,29,500,53,2,14,lockdown_retired+student,18,1201,9,60,273,12564.5,282
99,true,true,29,500,53,2,14,lockdown_retired+student,18,1781,7,89,215,17288,222
104,true,true,29,500,53,2,14,lockdown_retired+student,18,1481,5,74,244,15272.5,249
98,true,true,29,500,53,2,14,lockdown_retired+student,18,2021,6,101,273,21258.5,279
105,true,true,29,500,53,2,14,lockdown_retired+student,18,1341,5,67,143,11269.5,148
107,true,true,29,500,53,2,14,lockdown_retired+student,18,1141,3,57,122,10083.5,125
103,true,true,29,500,53,2,14,lockdown_retired+student,18,1741,8,87,279,18871.5,287
109,true,true,29,500,53,2,14,lockdown_retired+student,18,1321,7,66,287,15110,294
100,true,true,29,500,53,2,14,lockdown_retired+student,18,2281,2,114,193,21135,195
106,true,true,29,500,53,2,14,lockdown_retired+student,18,2281,4,114,236,21048,240
108,true,true,29,500,53,2,14,lockdown_retired+student,18,1661,1,83,196,15890.5,197
120,true,true,29,500,53,2,14,lockdown_retired+student,18,421,0,21,7,2441,7
116,true,true,29,500,53,2,14,lockdown_retired+student,18,1141,9,57,270,13041,279
114,true,true,29,500,53,2,14,lockdown_retired+student,18,1281,6,64,207,12080,213
110,true,true,29,500,53,2,14,lockdown_retired+student,18,1901,6,95,192,19927,198
112,true,true,29,500,53,2,14,lockdown_retired+student,18,1521,3,76,214,14833,217
113,true,true,29,500,53,2,14,lockdown_retired+student,18,1381,3,69,252,13756.5,255
111,true,true,29,500,53,2,14,lockdown_retired+student,18,1601,6,80,248,17267,254
123,true,true,29,500,53,2,14,essential_activities,18,341,0,17,6,3830,6
115,true,true,29,500,53,2,14,lockdown_retired+student,18,1381,6,69,204,13360,210
128,true,true,29,500,53,2,14,essential_activities,18,401,0,20,16,5237,16
127,true,true,29,500,53,2,14,essential_activities,18,621,0,31,26,8052,26
124,true,true,29,500,53,2,14,essential_activities,18,721,1,36,43,9646.5,44
130,true,true,29,500,53,2,14,essential_activities,18,361,0,18,8,4914,8
117,true,true,29,500,53,2,14,lockdown_retired+student,18,1681,8,84,242,17048.5,250
122,true,true,29,500,53,2,14,essential_activities,18,1101,4,55,130,16284,134
121,true,true,29,500,53,2,14,essential_activities,18,1321,2,66,165,20526,167
125,true,true,29,500,53,2,14,essential_activities,18,1201,1,60,93,16980,94
129,true,true,29,500,53,2,14,essential_activities,18,961,1,48,87,12784.5,88
119,true,true,29,500,53,2,14,lockdown_retired+student,18,1881,5,94,213,17282,218
138,true,true,29,500,53,2,14,essential_activities,18,441,0,22,15,5524,15
136,true,true,29,500,53,2,14,essential_activities,18,701,0,35,21,8957,21
139,true,true,29,500,53,2,14,essential_activities,18,581,0,29,10,5503,10
