"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"605","29","500","false","true","53","3","14","lockdown_student+worker","18","481","12","24","486","9016.5","498"
"608","29","500","false","true","53","3","14","lockdown_student+worker","18","541","19","27","478","10115","497"
"609","29","500","false","true","53","3","14","lockdown_student+worker","18","481","11","24","488","8952","499"
"610","29","500","false","true","53","3","14","lockdown_student+worker","18","481","8","24","491","9005.5","499"
"611","29","500","false","true","53","3","14","lockdown_student+worker","18","481","12","24","487","8970.5","499"
"612","29","500","false","true","53","3","14","lockdown_student+worker","18","481","6","24","492","9024","498"
"614","29","500","false","true","53","3","14","lockdown_student+worker","18","481","13","24","486","8989.5","499"
"613","29","500","false","true","53","3","14","lockdown_student+worker","18","541","11","27","488","10191.5","499"
"615","29","500","false","true","53","3","14","lockdown_student+worker","18","481","14","24","484","8896.5","498"
"616","29","500","false","true","53","3","14","lockdown_student+worker","18","481","5","24","490","9016","495"
"618","29","500","false","true","53","3","14","lockdown_student+worker","18","461","11","23","487","8608","498"
"620","29","500","false","true","53","3","14","lockdown_student+worker","18","481","10","24","490","8987","500"
"619","29","500","false","true","53","3","14","lockdown_student+worker","18","481","13","24","487","8980","500"
"617","29","500","false","true","53","3","14","lockdown_student+worker","18","601","18","30","481","11284","499"
"621","29","500","false","true","53","3","14","lockdown_student+worker","18","441","9","22","489","8225","498"
"623","29","500","false","true","53","3","14","lockdown_student+worker","18","481","6","24","493","9028","499"
"622","29","500","false","true","53","3","14","lockdown_student+worker","18","481","14","24","485","9002","499"
"624","29","500","false","true","53","3","14","lockdown_student+worker","18","481","10","24","490","8970.5","500"
"625","29","500","false","true","53","3","14","lockdown_student+worker","18","441","16","22","483","8168","499"
"626","29","500","false","true","53","3","14","lockdown_student+worker","18","521","16","26","482","9713","498"
"627","29","500","false","true","53","3","14","lockdown_student+worker","18","501","6","25","494","9360","500"
"628","29","500","false","true","53","3","14","lockdown_student+worker","18","461","13","23","486","8580","499"
"629","29","500","false","true","53","3","14","lockdown_student+worker","18","441","14","22","483","8160.5","497"
"632","29","500","false","true","53","3","14","lockdown_student+worker","18","461","16","23","481","8587","497"
"630","29","500","false","true","53","3","14","lockdown_student+worker","18","481","11","24","485","8975.5","496"
"631","29","500","false","true","53","3","14","lockdown_student+worker","18","441","15","22","485","8185.5","500"
"633","29","500","false","true","53","3","14","lockdown_student+worker","18","481","8","24","491","8996","499"
"634","29","500","false","true","53","3","14","lockdown_student+worker","18","481","16","24","481","8982","497"
"636","29","500","false","true","53","3","14","lockdown_student+worker","18","461","12","23","487","8598","499"
"635","29","500","false","true","53","3","14","lockdown_student+worker","18","481","14","24","485","8946.5","499"
"637","29","500","false","true","53","3","14","lockdown_student+worker","18","481","13","24","485","8977","498"
"639","29","500","false","true","53","3","14","lockdown_student+worker","18","461","11","23","488","8597.5","499"
"638","29","500","false","true","53","3","14","lockdown_student+worker","18","481","11","24","487","9023","498"
"640","29","500","false","true","53","3","14","lockdown_student+worker","18","461","9","23","491","8615","500"
"641","29","500","false","true","53","3","14","lockdown_student+worker","18","481","11","24","489","8992","500"
"642","29","500","false","true","53","3","14","lockdown_student+worker","18","481","8","24","492","8964.5","500"
"645","29","500","false","true","53","3","14","lockdown_student+worker","18","481","12","24","487","8923","499"
"643","29","500","false","true","53","3","14","lockdown_student+worker","18","461","11","23","489","8565.5","500"
"644","29","500","false","true","53","3","14","lockdown_student+worker","18","461","9","23","491","8650.5","500"
"646","29","500","false","true","53","3","14","lockdown_student+worker","18","461","7","23","491","8658.5","498"
"649","29","500","false","true","53","3","14","lockdown_student+worker","18","441","11","22","488","8217.5","499"
"648","29","500","false","true","53","3","14","lockdown_student+worker","18","461","13","23","485","8614","498"
"647","29","500","false","true","53","3","14","lockdown_student+worker","18","541","14","27","483","10150","497"
