"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"73","29","500","true","true","53","3","14","lockdown_worker","18","1381","3","69","264","21289.25","267"
"75","29","500","true","true","53","3","14","lockdown_worker","18","1221","2","61","182","17808.75","184"
"76","29","500","true","true","53","3","14","lockdown_worker","18","1061","8","53","266","16660.75","274"
"70","29","500","true","true","53","3","14","lockdown_worker","18","2141","6","107","245","33087.75","251"
"79","29","500","true","true","53","3","14","lockdown_worker","18","941","5","47","161","13935.25","166"
"84","29","500","true","true","53","3","14","lockdown_worker","18","761","0","38","23","10190.75","23"
"86","29","500","true","true","53","3","14","lockdown_worker","18","781","1","39","57","10695.25","58"
"74","29","500","true","true","53","3","14","lockdown_worker","18","2501","4","125","222","38111.5","226"
"81","29","500","true","true","53","3","14","lockdown_worker","18","1421","11","71","243","21476.5","254"
"82","29","500","true","true","53","3","14","lockdown_worker","18","1261","6","63","211","18910.5","217"
"80","29","500","true","true","53","3","14","lockdown_worker","18","1521","7","76","230","23097.5","237"
"78","29","500","true","true","53","3","14","lockdown_worker","18","1821","4","91","136","26278","140"
"83","29","500","true","true","53","3","14","lockdown_worker","18","1601","4","80","254","24949","258"
"77","29","500","true","true","53","3","14","lockdown_worker","18","2361","3","118","163","35111.75","166"
"85","29","500","true","true","53","3","14","lockdown_worker","18","1521","3","76","208","23043.5","211"
"87","29","500","true","true","53","3","14","lockdown_worker","18","1081","7","54","211","16281.25","218"
"89","29","500","true","true","53","3","14","lockdown_worker","18","1181","7","59","190","17238.5","197"
"98","29","500","true","true","53","3","14","lockdown_worker","18","381","0","19","9","5057.75","9"
"91","29","500","true","true","53","3","14","lockdown_worker","18","1121","5","56","190","16806.25","195"
"88","29","500","true","true","53","3","14","lockdown_worker","18","1781","9","89","246","28322.5","255"
"92","29","500","true","true","53","3","14","lockdown_worker","18","1261","4","63","221","19132.75","225"
"99","29","500","true","true","53","3","14","lockdown_worker","18","761","1","38","35","10354.75","36"
"96","29","500","true","true","53","3","14","lockdown_worker","18","1241","4","62","243","19219.25","247"
"93","29","500","true","true","53","3","14","lockdown_worker","18","1241","2","62","206","18534.75","208"
"94","29","500","true","true","53","3","14","lockdown_worker","18","1421","10","71","200","21925.5","210"
"95","29","500","true","true","53","3","14","lockdown_worker","18","1401","3","70","213","21804","216"
"90","29","500","true","true","53","3","14","lockdown_worker","18","1661","4","83","240","26573.25","244"
"97","29","500","true","true","53","3","14","lockdown_worker","18","1941","5","97","268","30929","273"
"103","29","500","true","true","53","3","14","lockdown_retired","18","1161","5","58","299","10585.25","304"
"101","29","500","true","true","53","3","14","lockdown_retired","18","1621","9","81","254","15459.25","263"
"104","29","500","true","true","53","3","14","lockdown_retired","18","1221","9","61","257","10463.25","266"
"105","29","500","true","true","53","3","14","lockdown_retired","18","1141","7","57","352","13092.25","359"
"100","29","500","true","true","53","3","14","lockdown_worker","18","1801","6","90","189","26550.75","195"
"106","29","500","true","true","53","3","14","lockdown_retired","18","1021","9","51","304","9831","313"
