[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
95,true,false,29,500,53,2,14,lockdown_retired+student,18,761,6,38,468,11694,474
94,true,false,29,500,53,2,14,lockdown_retired+student,18,901,10,45,453,9703.5,463
97,true,false,29,500,53,2,14,lockdown_retired+student,18,741,7,37,463,10551,470
99,true,false,29,500,53,2,14,lockdown_retired+student,18,661,10,33,455,8853,465
98,true,false,29,500,53,2,14,lockdown_retired+student,18,761,11,38,441,10489.5,452
101,true,false,29,500,53,2,14,lockdown_retired+student,18,681,14,34,458,9261,472
102,true,false,29,500,53,2,14,lockdown_retired+student,18,701,13,35,449,9032,462
103,true,false,29,500,53,2,14,lockdown_retired+student,18,721,10,36,449,9198.5,459
100,true,false,29,500,53,2,14,lockdown_retired+student,18,941,5,47,446,13870.5,451
104,true,false,29,500,53,2,14,lockdown_retired+student,18,821,11,41,460,10394,471
105,true,false,29,500,53,2,14,lockdown_retired+student,18,801,9,40,450,9989,459
109,true,false,29,500,53,2,14,lockdown_retired+student,18,741,9,37,464,10590,473
107,true,false,29,500,53,2,14,lockdown_retired+student,18,781,11,39,462,10665,473
108,true,false,29,500,53,2,14,lockdown_retired+student,18,761,8,38,473,10388,481
106,true,false,29,500,53,2,14,lockdown_retired+student,18,861,12,43,456,9656,468
110,true,false,29,500,53,2,14,lockdown_retired+student,18,801,13,40,459,9416.5,472
114,true,false,29,500,53,2,14,lockdown_retired+student,18,621,10,31,460,8386,470
113,true,false,29,500,53,2,14,lockdown_retired+student,18,741,6,37,465,10630,471
112,true,false,29,500,53,2,14,lockdown_retired+student,18,801,9,40,454,10785.5,463
111,true,false,29,500,53,2,14,lockdown_retired+student,18,841,17,42,454,11470.5,471
115,true,false,29,500,53,2,14,lockdown_retired+student,18,681,5,34,472,9324.5,477
116,true,false,29,500,53,2,14,lockdown_retired+student,18,721,13,36,464,9306.5,477
117,true,false,29,500,53,2,14,lockdown_retired+student,18,921,8,46,467,12302.5,475
118,true,false,29,500,53,2,14,lockdown_retired+student,18,701,8,35,473,10400,481
120,true,false,29,500,53,2,14,lockdown_retired+student,18,721,10,36,460,9164,470
119,true,false,29,500,53,2,14,lockdown_retired+student,18,741,4,37,465,9685,469
122,true,false,29,500,53,2,14,essential_activities,18,841,7,42,420,13414,427
123,true,false,29,500,53,2,14,essential_activities,18,781,12,39,435,12900.5,447
121,true,false,29,500,53,2,14,essential_activities,18,861,11,43,407,14096,418
124,true,false,29,500,53,2,14,essential_activities,18,881,7,44,399,14549,406
125,true,false,29,500,53,2,14,essential_activities,18,841,6,42,417,13218,423
127,true,false,29,500,53,2,14,essential_activities,18,841,18,42,410,12726,428
126,true,false,29,500,53,2,14,essential_activities,18,941,12,47,394,15889,406
128,true,false,29,500,53,2,14,essential_activities,18,861,9,43,404,13446.5,413
129,true,false,29,500,53,2,14,essential_activities,18,821,9,41,413,12774,422
130,true,false,29,500,53,2,14,essential_activities,18,741,13,37,407,12237.5,420
134,true,false,29,500,53,2,14,essential_activities,18,801,11,40,426,12768.5,437
137,true,false,29,500,53,2,14,essential_activities,18,721,10,36,398,11747,408
136,true,false,29,500,53,2,14,essential_activities,18,841,8,42,431,13773,439
135,true,false,29,500,53,2,14,essential_activities,18,781,8,39,423,13255.5,431
138,true,false,29,500,53,2,14,essential_activities,18,801,11,40,391,13336.5,402
140,true,false,29,500,53,2,14,essential_activities,18,801,6,40,418,13247.5,424
133,true,false,29,500,53,2,14,essential_activities,18,1061,8,53,419,17349.5,427
131,true,false,29,500,53,2,14,essential_activities,18,1161,7,58,406,18091.5,413
141,true,false,29,500,53,2,14,essential_activities,18,781,13,39,401,12051.5,414
139,true,false,29,500,53,2,14,essential_activities,18,1081,6,54,419,15508,425
132,true,false,29,500,53,2,14,essential_activities,18,1501,10,75,417,26089,427
142,true,false,29,500,53,2,14,essential_activities,18,1061,15,53,413,17890.5,428
