[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
111,false,false,29,500,53,2,14,lockdown_retired+student,18,841,15,42,485,4940,500
112,false,false,29,500,53,2,14,lockdown_retired+student,18,701,10,35,490,4706,500
113,false,false,29,500,53,2,14,lockdown_retired+student,18,701,5,35,495,4319.5,500
114,false,false,29,500,53,2,14,lockdown_retired+student,18,841,8,42,491,5401.5,499
115,false,false,29,500,53,2,14,lockdown_retired+student,18,821,15,41,484,5203,499
116,false,false,29,500,53,2,14,lockdown_retired+student,18,881,14,44,486,4943,500
117,false,false,29,500,53,2,14,lockdown_retired+student,18,821,10,41,487,4974,497
118,false,false,29,500,53,2,14,lockdown_retired+student,18,741,8,37,490,4856.5,498
119,false,false,29,500,53,2,14,lockdown_retired+student,18,821,11,41,488,4969,499
122,false,false,29,500,53,2,14,essential_activities,18,921,18,46,482,11851.5,500
123,false,false,29,500,53,2,14,essential_activities,18,881,4,44,490,11706.5,494
121,false,false,29,500,53,2,14,essential_activities,18,1061,19,53,480,11292.5,499
124,false,false,29,500,53,2,14,essential_activities,18,821,12,41,486,10028,498
120,false,false,29,500,53,2,14,lockdown_retired+student,18,981,9,49,490,6482,499
125,false,false,29,500,53,2,14,essential_activities,18,901,12,45,486,11102,498
127,false,false,29,500,53,2,14,essential_activities,18,841,12,42,484,11099,496
126,false,false,29,500,53,2,14,essential_activities,18,1021,12,51,488,13512.5,500
129,false,false,29,500,53,2,14,essential_activities,18,941,6,47,489,11145.5,495
128,false,false,29,500,53,2,14,essential_activities,18,961,12,48,482,12168.5,494
130,false,false,29,500,53,2,14,essential_activities,18,861,9,43,488,10868,497
132,false,false,29,500,53,2,14,essential_activities,18,841,10,42,487,10836,497
131,false,false,29,500,53,2,14,essential_activities,18,941,13,47,477,11629,490
134,false,false,29,500,53,2,14,essential_activities,18,921,13,46,485,12165.5,498
133,false,false,29,500,53,2,14,essential_activities,18,1001,15,50,480,12135,495
135,false,false,29,500,53,2,14,essential_activities,18,921,9,46,489,11126,498
136,false,false,29,500,53,2,14,essential_activities,18,1041,8,52,487,10864.5,495
137,false,false,29,500,53,2,14,essential_activities,18,1081,10,54,485,13804.5,495
140,false,false,29,500,53,2,14,essential_activities,18,841,15,42,484,10537.5,499
138,false,false,29,500,53,2,14,essential_activities,18,921,8,46,489,11941.5,497
141,false,false,29,500,53,2,14,essential_activities,18,961,13,48,481,12167.5,494
139,false,false,29,500,53,2,14,essential_activities,18,1201,10,60,484,15139,494
142,false,false,29,500,53,2,14,essential_activities,18,941,14,47,484,10813,498
143,false,false,29,500,53,2,14,essential_activities,18,921,12,46,486,11386.5,498
145,false,false,29,500,53,2,14,essential_activities,18,921,11,46,487,11354,498
144,false,false,29,500,53,2,14,essential_activities,18,881,7,44,491,10604.5,498
147,false,false,29,500,53,2,14,essential_activities,18,821,10,41,485,10304,495
146,false,false,29,500,53,2,14,essential_activities,18,961,13,48,483,11354,496
149,false,false,29,500,53,2,14,essential_activities,18,921,10,46,484,11657,494
148,false,false,29,500,53,2,14,essential_activities,18,861,8,43,488,11121,496
150,false,false,29,500,53,2,14,essential_activities,18,761,13,38,482,10003.5,495
153,false,false,29,500,53,2,14,all,18,1081,2,54,49,21430,51
159,false,false,29,500,53,2,14,all,18,1041,1,52,58,20243.5,59
152,false,false,29,500,53,2,14,all,18,1841,2,92,93,35981.5,95
151,false,false,29,500,53,2,14,all,18,2321,5,116,146,45968.5,151
154,false,false,29,500,53,2,14,all,18,2121,2,106,114,42446,116
162,false,false,29,500,53,2,14,all,18,1701,3,85,68,31931,71
160,false,false,29,500,53,2,14,all,18,1921,7,96,96,38353.5,103
156,false,false,29,500,53,2,14,all,18,2501,8,125,241,48726.5,249
163,false,false,29,500,53,2,14,all,18,1841,5,92,176,35526.5,181
158,false,false,29,500,53,2,14,all,18,2541,1,127,75,50193,76
167,false,false,29,500,53,2,14,all,18,801,2,40,29,15774,31
165,false,false,29,500,53,2,14,all,18,2141,0,107,49,42525,49
164,false,false,29,500,53,2,14,all,18,2181,0,109,126,42525,126
171,false,false,29,500,53,2,14,all,18,1101,1,55,25,21452.5,26
166,false,false,29,500,53,2,14,all,18,1841,1,92,85,33994,86
161,false,false,29,500,53,2,14,all,18,3181,3,159,194,61812,197
173,false,false,29,500,53,2,14,all,18,1081,2,54,47,21029,49
155,false,false,29,500,53,2,14,all,18,4161,2,208,233,82892.5,235
169,false,false,29,500,53,2,14,all,18,2001,3,100,101,38380.5,104
157,false,false,29,500,53,2,14,all,18,4241,3,212,286,84404.5,289
168,false,false,29,500,53,2,14,all,18,2341,4,117,178,45675,182
170,false,false,29,500,53,2,14,all,18,2601,6,130,139,50863,145
172,false,false,29,500,53,2,14,all,18,2521,1,126,139,48579,140
176,false,false,29,500,53,2,14,all,18,1601,2,80,54,31531.5,56
178,false,false,29,500,53,2,14,all,18,1741,1,87,109,33593.5,110
175,false,false,29,500,53,2,14,all,18,2521,3,126,82,50101.5,85
177,false,false,29,500,53,2,14,all,18,2241,3,112,104,44063,107
174,false,false,29,500,53,2,14,all,18,2601,4,130,150,50860.5,154
179,false,false,29,500,53,2,14,all,18,2701,2,135,145,54612.5,147
180,false,false,29,500,53,2,14,all,18,3741,7,187,154,74588,161
